SOURCE	TARGET
أن	أن	UC
أكون	أكون	UC
مثالية	مثالية	UC
في	في	UC
بلدي	بلدي	UC
خاصة	خاصة	UC
للمسلمات	للمسلمات	UC
آلاتي	اللاتي	REPLACE_OH+REPLACE_OM
لا	لا	UC
يعرفن	يعرفن	UC
الإسلام	الإسلام	UC
جيدا	جيدا	UC
ولا	ولا	UC
يطبقن	يطبقن	UC
الإسلام	الإسلام	UC
أني	أنا	REPLACE_OA
أدعو	أدعو	UC
إلى		DELETE_XM
الله	الله	UC
أن	أن	UC
أكون	أكون	UC
مثل	مثل	UC
ذلك	ذلك	UC
كي	كي	UC
أستطيع	أستطيع	UC
أن	أن	UC
أكون	أكون	UC
داعية	داعية	UC
لله	لله	UC
لهذا	لهذا	UC
الدين	الدين	UC
الصحيح	الصحيح	UC
لأني	لأني	UC
أعلم	أعلم	UC
بأن	بأني	REPLACE_XM
إذا	إذا	UC
أردت	أردت	UC
أن	أن	UC
أدعو	أدعو	UC
وأنا	وأنا	UC
مثلهن	مثلهن	UC
أي	أي	UC
لا	لا	UC
أطبق	أطبق	UC
الدين	الدين	UC
وليس	وليس	UC
لدي	لدي	UC
معلومات	معلومات	UC
كثيرة	كثيرة	UC
كافية	كافية	UC
عن	عن	UC
الدين	الدين	UC
فكيف	فكيف	UC
أستطيع	أستطيع	UC
الدعوة	الدعوة	UC
إلى	إلى	UC
الله	الله	UC
إذا	إذا	UC
لآبد	لابد	REPLACE_OR
أن	أن	UC
أتعلم	أتعلم	UC
لذا	لذا	UC
اخترت	اخترت	UC
التخصص	تخصص	REPLACE_XF
الدراسات	الدراسات	UC
الإسلامية	الإسلامية	UC

رحلات	رحلة	REPLACE_XN
من	من	UC
باكستان	باكستان	UC
إلى	إلى	UC
مملكة	المملكة	REPLACE_XF
مرة	مرة	UC
من	من	UC
مرات	المرات	REPLACE_XF
كنت	كنت	UC
مسافرة	مسافرة	UC
من	من	UC
باكستان	باكستان	UC
إلى	إلى	UC
مملكة	المملكة	REPLACE_XF
سافرت	سافرت	UC
من	من	UC
مدينة	مدينة	UC
فيصل	فيصل	UC
آباد	آباد	UC
إلى	إلى	UC
كراتشي	كراتشي	UC
ومن	ومن	UC
كراتشي	كراتشي	UC
إلى	إلى	UC
الرياض	الرياض	UC
من الطائرة	بالطائرة	REPLACE_S
مع	مع	UC
آهلي	أهلي	REPLACE_OH
في	في	UC
كراتشي	كراتشي	UC
مكثنا	مكثنا	UC
أربع	أربع	UC
ساعات	ساعات	UC
ونمنا	ونمنا	UC
في	في	UC
فندوق	فندق	REPLACE_OD
المطار	المطار	UC
وتأخرنا	وتأخرنا	UC
وجاء	وجاء	UC
مضيف	مضيف	UC
الفندق	الفندق	UC
ويخبرنا	يخبرنا	REPLACE_MI
	أننا	INSERT_XM
تأخرتم	تأخرنا	REPLACE_MI
نحن	نحن	UC
آخذنا	أخذنا	REPLACE_OH
أغراض	أغراضنا	REPLACE_MI
بسريعة	بسرعة	REPLACE_OD
وذهبنا	وذهبنا	UC
إلى	إلى	UC
مطار	مطار	UC
الكراتشي	كراتشي	REPLACE_XF
سمعنا	سمعنا	UC
النداء	النداء	UC
من	من	UC
مذيع	مذيع	UC
المطار	المطار	UC
نحن	نحن	UC
ركبنا	ركبنا	UC
الطائرة	الطائرة	UC
وجلسنا	وجلسنا	UC
على	على	UC
مقاعدنا	مقاعدنا	UC
لعد	بعد	REPLACE_MI
فطرة	فترة	REPLACE_OR
اليسيرة	يسيرة	REPLACE_XF
جاء	جاء	UC
الموظف	الموظف	UC
وقال	وقال	UC
أين	أين	UC
هؤلاء	هؤلاء	UC
الذين	الذين	UC
أسمائهم	أسماؤهم	REPLACE_XC
ياسرا	ياسرا	UC
يسري	يسرى	REPLACE_OA
ومصاب	ومصاب	UC
مصعب	مصعب	UC
وبقيتهم	وبقيتهم	UC
وخفنا	وخفنا	UC
لماذا	لماذا	UC
هذا	هذا	UC
الرجل	الرجل	UC
يدعو لنا	يدعونا	UNK
وهو	وهو	UC
قال	قال	UC
خذوا	خذوا	UC
أغراضكم	أغراضكم	UC
وأخرجوا	واخرجوا	REPLACE_OH
من	من	UC
الطائرة	الطائرة	UC
سألناه	سألناه	UC
أي	أي	UC
مشكلة	مشكلة	UC
هو	هو	UC
قال	قال	UC
اصبروا	اصبروا	UC
وبدأنا	وبدأنا	UC
دعاء	الدعاء	REPLACE_XF
إلى	إلى	UC
الله	الله	UC
من	من	UC
الخوف	الخوف	UC
وظننا	وظننا	UC
	أن	INSERT_XM
هناك	هناك	UC
الشيء	شيئا	REPLACE_SW
الذي طلع	وجده في	REPLACE_SW
من		DELETE_XM
أغراضنا	أغراضنا	UC
بعد	بعد	UC
فترة	فترة	UC
اليسيرة	يسيرة	REPLACE_XF
هو		DELETE_XM
يخبرنا	أخبرنا	REPLACE_MT
أن	أن	UC
الطائرة	الطائرة	UC
التي	التي	UC
ركبتم	ركبتم	UC
للأبو	بها لأبو	UNK
ظبي	ظبي	UC
وبعدها	وبعدها	UC
ركبنا	ركبنا	UC
في	في	UC
طائرة	طائرة	UC
الأخرى	أخرى	REPLACE_XF
للمملكة	للمملكة	UC
وبقية	وبقية	UC
الرحلة	الرحلة	UC
كانت	كانت	UC
ممتعة	ممتعة	UC

التخصص	التخصص	UC
كل	كل	UC
شاب	شاب	UC
أو	أو	UC
طالب	طالب	UC
علم	علم	UC
	لديه	INSERT_XM
أمنية	أمنية	UC
يتعلق	تتعلق	REPLACE_MI
بمستقبله	بمستقبله	UC
من	من	UC
ع مل	عمل	MERGE
أو	أو	UC
تخصص	تخصص	UC
أنا	أنا	UC
طالبة	طالبة	UC
في	في	UC
معهد	معهد	UC
اللغة	اللغة	UC
العربية	العربية	UC
بجامعة	بجامعة	UC
الأميرة	الأميرة	UC
نورة	نورة	UC
أتمنى	أتمنى	UC
أن	أن	UC
أتخرج	أتخرج	UC
في	من	REPLACE_SW
هذا	هذا	UC
الفصل	الفصل	UC
الأول	الأول	UC
وألتحق	وألتحق	UC
بكلية	بكلية	UC
الشريعة	الشريعة	UC
الإسلامية	الإسلامية	UC
وإذا	وإذا	UC
من	من	UC
الله	الله	UC
علي	علي	UC
أن	أن	UC
أقبل	أقبل	UC
في	في	UC
الدراسات	الدراسات	UC
العليا	العليا	UC
أتمنى	أتمنى	UC
أن	أن	UC
أتخصص	أتخصص	UC
في	في	UC
الفقه	الفقه	UC
اخترت	اخترت	UC
هذا	هذا	UC
التخصص	التخصص	UC
لأنني	لأنني	UC
بحاجة	بحاجة	UC
لتفقه	لتفقه	UC
أمور	أمور	UC
ديني	ديني	UC
وأساعد	وأساعد	UC
أبناء	أبناء	UC
بلدي	بلدي	UC
أيضا	أيضا	UC
وخاصة	وخاصة	UC
النساء	النساء	UC
لا	لا	UC
يوجد	يوجد	UC
في	في	UC
عائلتي	عائلتي	UC
أحد	أحد	UC
تخصص	تخصص	UC
في	في	UC
هذا	هذا	UC
المجال	المجال	UC
ولكن	ولكن	UC
سيساعدونني	سيساعدونني	UC
لأن	لأن	UC
تخصصهم	تخصصهم	UC
ليس	ليس	UC
بعيدا	بعيدا	UC
عنه	عنه	UC
كالذي	كالذي	UC
تخصص	تخصص	UC
في	في	UC
أصول	أصول	UC
الفقه	الفقه	UC
والذي	والذي	UC
شجعني	شجعني	UC
في	في	UC
اختياري	اختياري	UC
لهذا	لهذا	UC
المجال	المجال	UC
أني	أخي	REPLACE_OR
الأكبر	الأكبر	UC
حفظه	حفظه	UC
الله	الله	UC
وساعده	وساعدني	REPLACE_MI
في	في	UC
دراسته	دراسته	UC
أنا	أنا	UC
أحب	أحب	UC
هذا	هذا	UC
التخصص	التخصص	UC
لأنه	لأنه	UC
يساعدني	يساعدني	UC
على	على	UC
التفقه	تفقه	REPLACE_MI+REPLACE_OD
أمور	أمور	UC
ديني	ديني	UC
ولقد	ولقد	UC
قال	قال	UC
رسول	رسول	UC
الله	الله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
من	من	UC
يرد	يرد	UC
الله	الله	UC
به	به	UC
خيرا	خيرا	UC
يفقه	يفقهه	REPLACE_XM
في	في	UC
الدين	الدين	UC

تخصصي	تخصصي	UC
مصطلح	مصطلح	UC
الحديث	الحديث	UC
والتفسير	والتفسير	UC
حينما	حينما	UC
كنت	كنت	UC
طالبا	طالبا	UC
في	في	UC
بلدي	بلدي	UC
ومدرسي	ومدرسي	UC
متخصص	متخصص	UC
بمصطلح	بمصطلح	UC
الحديث	الحديث	UC
والتفسير	والتفسير	UC
وكان	وكان	UC
هذا	هذا	UC
المدرس	المدرس	UC
يعرف	يعرف	UC
كثيرا	كثيرا	UC
من	من	UC
المعلومات	المعلومات	UC
التي	التي	UC
يتعلق	تتعلق	REPLACE_MI
على الأحاديث	بالأحاديث	UNK
والتفسير	والتفسير	UC
وكان	وكانت	REPLACE_XG
طريقته	طريقته	UC
في	في	UC
التدريس	التدريس	UC
ممتازا	ممتازة	REPLACE_XG
فأحببت	فأحببت	UC
أن	أن	UC
أكون	أكون	UC
مثله	مثله	UC
في	في	UC
المستقبل	المستقبل	UC
أن	إن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
لذلك	لذلك	UC
اخترت	اخترت	UC
هذا	هذا	UC
التخصص	التخصص	UC
رغبا	رغبة	REPLACE_OR
من	في	REPLACE_SW
أن	أن	UC
أكون	أكون	UC
مثله	مثله	UC
في	في	UC
زمن	الزمن	REPLACE_XF
الماضي	الماضي	UC
	كان	INSERT_XM
يحدث	يحدث	UC
تحريف	تحريف	UC
الأحاديث	للأحاديث	REPLACE_XM
ومقالات	والأقوال	REPLACE_SW
ينتسب	تنتسب	REPLACE_MI
بأحاديث	لأحاديث	REPLACE_MI
رسول	رسول	UC
الله	الله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
وليس	وليس	UC
فقط	فقط	UC
في	في	UC
الماضي	الماضي	UC
وإنما	وإنما	UC
حتى	حتى	UC
إلى	في	REPLACE_SW
هذا	هذا	UC
العصر	العصر	UC
تحدث	تحدث	UC
هذه	هذه	UC
الأمور	الأمور	UC
لذا	لذا	UC
هذا	هذا	UC
التخصص	التخصص	UC
يحتاج	يحتاج	UC
بعض	بعض	UC
الطلاب	الطلاب	UC
لمعالجة	لمعالجة	UC
هذه	هذه	UC
الأمور	الأمور	UC
في	في	UC
بلدنا	بلدنا	UC
هناك	هناك	UC
جماعة	جماعة	UC
من	من	UC
المسلمين	المسلمين	UC
يخاطب	تخاطب	REPLACE_MI
الناس	الناس	UC
بأحاديث	بأحاديث	UC
ضعيف	ضعيفة	REPLACE_XG
أو	أو	UC
يكون	يكون	UC
هذا	هذا	UC
الحديث	الحديث	UC
منكر	منكرا	REPLACE_XC
أو	أو	UC
لا	لا	UC
أصل	أصل	UC
فيه	فيه	UC
والجهلاء	والجهلاء	UC
من	من	UC
الناس	الناس	UC
ما	لا	REPLACE_SW
يستطيعون	يستطيعون	UC
أن	أن	UC
يتميز	يميزوا	REPLACE_OD+REPLACE_XN
وهل	هل	REPLACE_MI
هذا	هذا	UC
الحديث	الحديث	UC
صحيح	صحيح	UC
أو	أم	REPLACE_OR
ضعيف	ضعيف	UC
وصلى	وصلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
وعلى	وعلى	UC
آله	آله	UC
وصحبة	وصحبه	REPLACE_OT
أجمعين	أجمعين	UC

أتحصص	التخصص	REPLACE_SW
في	في	UC
كلية	كلية	UC
الترجمة	الترجمة	UC
أتحصص	سأتخصص	REPLACE_MT+REPLACE_OR
في	في	UC
كلية	كلية	UC
الترجمة	الترجمة	UC
قسم	قسم	UC
اللغة	اللغة	UC
العربية	العربية	UC
وألغه	واللغة	REPLACE_SW
التركية	التركية	UC
جئت	جئت	UC
إلى	إلى	UC
المملكة	المملكة	UC
العربية	العربية	UC
السعودية	السعودية	UC
لأتعلم	لأتعلم	UC
اللغة	اللغة	UC
العربية	العربية	UC
وبعد	وبعد	UC
الدراسة	دراسة	REPLACE_XF
البكالوريس	البكالوريوس	REPLACE_OH+REPLACE_OM
آتمن	أتمنى	REPLACE_OH
أن	أن	UC
أكون	أكون	UC
مترجما	مترجما	UC
أن	إن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
وتعلمت	وتعلمت	UC
اللغة	اللغة	UC
التركية	التركية	UC
مستوى	مستوى	UC
متميز	متميز	UC
لماذا	لماذا	UC
أختر	اخترت	REPLACE_OH+REPLACE_OM
هذا	هذا	UC
التحصص	التخصص	REPLACE_OR
لأن	لأني	REPLACE_XM
أنا	أنا	UC
أحب	أحب	UC
مترجة	الترجمة	REPLACE_SW
وفي	وفي	UC
المستقبل	المستقبل	UC
أريد	أريد	UC
أن	أن	UC
أكون	أكون	UC
كوبري	كوبري	UC
جسر	جسر	UC
بين	بين	UC
جنسيتين	جنسيتين	UC
آخذت	أخذت	REPLACE_OH
توصية	توصية	UC
من	من	UC
المدرس	المدرس	UC

طريقة	طريقة	UC
للدراسة	لدراسة	REPLACE_OD
اللغة	اللغة	UC
العربية	العربية	UC
أنا	أنا	UC
جئت	جئت	UC
من	من	UC
تايلاند	تايلند	REPLACE_XC
قبل	قبل	UC
جئت	مجيئي	REPLACE_SW
	إلى	INSERT_XM
هنا	هنا	UC
درست	درست	UC
من	في	REPLACE_SW
بلادي	بلادي	UC
9	9	UC
سنوات	سنوات	UC
من	في	REPLACE_SW
مدرسة	مدرسة	UC
حياة	حياة	UC
الإسلام	الإسلام	UC
ثم	ثم	UC
بعد	بعد	UC
ذلك	ذلك	UC
سافرت	سافرت	UC
إلى	إلى	UC
بلاد	بلاد	UC
الأخرى	أخرى	REPLACE_XF
	مثل	INSERT_XM
بلاد	بلاد	UC
الأردن	الأردن	UC
والقطر	وقطر	REPLACE_XF
لتعلم	لتعلم	UC
اللغة	اللغة	UC
العربية	العربية	UC
درست	درست	UC
في	في	UC
الأردن	الأردن	UC
	في	INSERT_XM
الجامعة	الجامعة	UC
الأردنية	الأردنية	UC
سنة	سنة	UC
واحدة	واحدة	UC
ودرست	ودرست	UC
	في	INSERT_XM
كلية	كلية	UC
الشريعة	الشريعة	UC
تخصص	تخصص	UC
أصول	أصول	UC
الفقه	الفقه	UC
وبعد	وبعد	UC
ذلك	ذلك	UC
ذهبت	ذهبت	UC
إلى	إلى	UC
العمرة	العمرة	UC
ثم	ثم	UC
زرت	زرت	UC
الجامعة	الجامعة	UC
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
وفكرت	وفكرت	UC
لماذا	لماذا	UC
أنا	أنا	UC
لم	لم	UC
أدرس	أدرس	UC
هنا	هنا	UC
لأن	لأن	UC
هنا	هنا	UC
طبيعية	طبيعة	REPLACE_OD
الإسلامية	الإسلام	REPLACE_OD
أحسن	أحسن	UC
من	من	UC
الجامعة	الجامعة	UC
الأردنية	الأردنية	UC
ثم	ثم	UC
قدمت	قدمت	UC
الأوراق	الأوراق	UC
في	في	UC
الجامعة	الجامعة	UC
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
الأولا	أولا	REPLACE_MI+REPLACE_OD
وثم	ثم	REPLACE_MI
قدمت	قدمت	UC
في	في	UC
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
بعد	بعد	UC
	أن	INSERT_XM
عرفت	عرفت	UC
	أن	INSERT_XM
الجامعة	الجامعة	UC
الإسلامية	الإسلامية	UC
بالمدينة	بالمدينة	UC
المنورة	المنورة	UC
ما	ما	UC
قبلت	قبلتني	REPLACE_MI
أنا	أنا	UC
قدمت	قدمت	UC
الأوراق	الأوراق	UC
إلى	إلى	UC
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
بعد	بعد	UC
سنة	سنة	UC
واحدة	واحدة	UC
عرفت	عرفت	UC
	أن	INSERT_XM
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
قبلت إلى	قبلتني	REPLACE_S
للدراسة	للدراسة	UC
	في	INSERT_XM
جامعة	جامعة	UC
الملك	الملك	UC
سعود	سعود	UC
ثم	ثم	UC
رجعت	رجعت	UC
إلى	إلى	UC
بلادي	بلادي	UC
	لعمل	INSERT_XM
لإجرءات	الإجرءات	REPLACE_OH+REPLACE_OM
	للسفر	INSERT_XM
إلى	إلى	UC
السعودية	السعودية	UC
بعد	بعد	UC
الإجرءات	الإجرءات	UC
سافرت	سافرت	UC
إلى	إلى	UC
السعودية	السعودية	UC
أنا		DELETE_XM
وصلت	وصلت	UC
	إلى	INSERT_XM
هنا	هنا	UC
	في	INSERT_XM
سنة	السنة	REPLACE_XF
الماضي	الماضية	REPLACE_XG
ودرست	ودرست	UC
في	في	UC
معهد	معهد	UC
اللغة	اللغة	UC
العربية	العربية	UC
لغير	لغير	UC
الناطقين	الناطقين	UC
بها	بها	UC
بدأت	بدأت	UC
في	في	UC
المستوى	المستوى	UC
الأول	الأول	UC
والآن	والآن	UC
أنا	أنا	UC
	في	INSERT_XM
المستوى	المستوى	UC
الثالث	الثالث	UC
وأن	وإن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
سوف	سوف	UC
أدخل	أدخل	UC
كلية	كلية	UC
التربية	التربية	UC

الرحلة	الرحلة	UC
إلى	إلى	UC
قطر	قطر	UC
كنت	كنت	UC
	قد	INSERT_XM
ذهبت	ذهبت	UC
في	في	UC
الرحلة	رحلة	REPLACE_XF
على	إلى	REPLACE_SW
قطر	قطر	UC
مع	مع	UC
الأصدقاء	الأصدقاء	UC
وجلسنا	ومكثنا	REPLACE_OR
شهر	شهرا	REPLACE_XC+REPLACE_XN
كامل	كاملا	REPLACE_XC
في	في	UC
قطر	قطر	UC
وزرنا	وزرنا	UC
بعض	بعض	UC
الأماكن	الأماكن	UC
الجميلة	الجميلة	UC
كانت	كانت	UC
الرحلة	الرحلة	UC
ممتعة	ممتعة	UC
ومرتاح	ومريحة	REPLACE_OR
قد	قد	UC
ذهبنا	ذهبنا	UC
في	إلى	REPLACE_SW
المتحف	المتحف	UC
أنا	أنا	UC
نسيت	نسيت	UC
اسم	اسم	UC
المتحف	المتحف	UC
شاهدنا	شاهدنا	UC
هناك	هناك	UC
أشياء	أشياء	UC
جميلة	جميلة	UC
والآثار	والآثار	UC
القديمة	القديمة	UC
ولقينا	ولقينا	UC
بعض	بعض	UC
الأشخاص	الأشخاص	UC
هم		DELETE_XM
الذين	الذين	UC
يساعدون	يساعدون	UC
ويشرحون	ويشرحون	UC
في	عن	REPLACE_SW
بعض	بعض	UC
المعلومات	المعلومات	UC
التي	التي	UC
لم	لا	REPLACE_SW
نعرف لنا	نعرفها	REPLACE_S
ثم	ثم	UC
بعد	بعد	UC
ذلك	ذلك	UC
نحن		DELETE_XM
ذهبنا	ذهبنا	UC
من	في	REPLACE_SW
السيارة	السيارة	UC
إلى	إلى	UC
المطعم	المطعم	UC
لتناول	لتناول	UC
الغدا	الغداء	REPLACE_OM
وبعد	وبعد	UC
وصلنا	وصولنا	REPLACE_OH+REPLACE_OM
	إلى	INSERT_XM
المطعم	المطعم	UC
آخذنا	طلبنا	REPLACE_SW
الطعام	الطعام	UC
الهندي	الهندي	UC
فيها	فيه	REPLACE_XG
أرز	أرز	UC
أدس	عدس	REPLACE_OR
خبر	خبر	UC
وسأمون	السمون	REPLACE_OR
الهندية	الهندي	REPLACE_XG
ن		DELETE_XM
بعد	بعد	UC
الطعام	الطعام	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
الفندق	الفندق	UC
ونستريح	واسترحنا	REPLACE_MT
هناك	هناك	UC
حتى	حتى	UC
العصر	العصر	UC
ونصلى	وصلينا	REPLACE_MT
صلاة	صلاة	UC
العصر	العصر	UC
في	في	UC
الفندق	الفندق	UC
ثم	ثم	UC
ذهبنا	ذهبنا	UC
على	إلى	REPLACE_SW
شاطئ	شاطئ	UC
البحر	البحر	UC
هناك	هناك	UC
رأينا	رأينا	UC
بعض	بعض	UC
أشياء	الأشياء	REPLACE_XF
جميلة	الجميلة	REPLACE_XF
ولطيفة	واللطيفة	REPLACE_XF
وأمارسنا	ومارسنا	REPLACE_OD
الرياضة	الرياضة	UC
ساعة	ساعة	UC
واحدة	واحدة	UC
ثم	ثم	UC
رجعنا	رجعنا	UC
على	إلى	REPLACE_SW
الفندق	الفندق	UC
وغسلنا	واغتسلنا	REPLACE_OH+REPLACE_OM
وغير	وغيرنا	REPLACE_MI
الملابس	الملابس	UC
وشاهدنا	وشاهدنا	UC
الأخبار	أخبار	REPLACE_XF
العالم	العالم	UC
عبر	عبر	UC
الأنترنيت	الإنترنيت	REPLACE_OH
نصف	نصف	UC
ساعة	ساعة	UC
والحمد	والحمد	UC
الله	الله	UC
نحن	نحن	UC
قينا	قضينا	REPLACE_OM
الوقت	الوقت	UC
في	في	UC
الرحلة	الرحلة	UC
ممتعة	بمتعة	REPLACE_OR
ومرتاحة	وراحة	REPLACE_OD
ثم	ثم	UC
رجعنا	رجعنا	UC
إلى	إلى	UC
بلدنا	بلدنا	UC
بعد	بعد	UC
الشهر	شهر	REPLACE_XF

رحلة	رحلة	UC
للعمرة	للعمرة	UC
	ذهبت	INSERT_XM
أنا	أنا	UC
ذهبت		DELETE_XM
إلى	إلى	UC
المكة	مكة	REPLACE_XF
مع	مع	UC
أسرتي	أسرتي	UC
في	في	UC
أسبوع	الأسبوع	REPLACE_XF
الماضي	الماضي	UC
للعمرة	للعمرة	UC
نحن	نحن	UC
خرجنا	خرجنا	UC
من	من	UC
البيت	البيت	UC
قبل	قبل	UC
العشاء	العشاء	UC
كانت	كانت	UC
الرحلة	الرحلة	UC
سعيدة	سعيدة	UC
سفرنا	سافرنا	REPLACE_OH+REPLACE_OM
بالطائرة	بالطائرة	UC
إذا	فإذا	REPLACE_SF
وصلنا	وصلنا	UC
عند	عند	UC
الكعبة	الكعبة	UC
شعرنا	شعرنا	UC
بالسرور	بالسرور	UC
نطوف	طفنا	REPLACE_MT
حول	حول	UC
الكعبة	الكعبة	UC
سبعة	سبعة	UC
أشواط	أشواط	UC
بعد	بعد	UC
ذلك	ذلك	UC
صلينا	صلينا	UC
ركعتين	ركعتين	UC
خلف	خلف	UC
مقام	مقام	UC
إبراهيم	إبراهيم	UC
ونسعى	وسعينا	REPLACE_MT
سبعة	سبعة	UC
أشواط	أشواط	UC
من	من	UC
الصفاء	الصفا	REPLACE_OD
إلى	إلى	UC
المروة	المروة	UC
ورجعنا	ورجعنا	UC
إلى	إلى	UC
الفندق	الفندق	UC
الذي	الذي	UC
كان	كان	UC
قريب	قريبا	REPLACE_XC
من	من	UC
الحرم	الحرم	UC
الشريف	الشريف	UC
واسترحنا	واسترحنا	UC
أربع	أربع	UC
ساعات	ساعات	UC
بعده	بعدها	REPLACE_MI
سفرنا	سافرنا	REPLACE_OH+REPLACE_OM
إلى	إلى	UC
المدينة	المدينة	UC
للزيارة	لزيارة	REPLACE_OD
المسجد	المسجد	UC
النبوي	النبوي	UC
وذهبنا	وذهبنا	UC
إلى	إلى	UC
المدينة	المدينة	UC
بالحافلة	بالحافلة	UC
ولكن	ولكن	UC
وجدنا	وجدنا	UC
الصعوبة	صعوبة	REPLACE_XF
في	في	UC
هذا	هذا	UC
السفر	السفر	UC
لأن	لأن	UC
في	في	UC
الطريق	الطريق	UC
كان	كان	UC
ازدحام	ازدحام	UC
كثي	كثير	REPLACE_OM
وأيضا	وأيضا	UC
ما	ما	UC
وجدنا	وجدنا	UC
المكان	مكانا	REPLACE_XF
في	في	UC
المدينة	المدينة	UC
لكي	لكي	UC
نسكن	نسكن	UC
ومضينا	وقضينا	REPLACE_OR
طول	طول	UC
اليل	الليل	REPLACE_OM
في	في	UC
المسجد	المسجد	UC
النبوي	النبوي	UC
بعد	بعد	UC
الصلوة	صلاة	REPLACE_XF
الفجر	الفجر	UC
زرنا	زرنا	UC
المقامات	المقامات	UC
المقدسة	المقدسة	UC
مثل	مثل	UC
بئر	بئر	UC
عثمان	عثمان	UC
جنت	مقبرة	REPLACE_SW
البقيع	البقيع	UC
رياض	رياض	UC
الجنة	الجنة	UC
وادئ	وادي	REPLACE_OR
البيضاء	البيضاء	UC
وجبل	وجبل	UC
أحد	أحد	UC
ورجعنا	ورجعنا	UC
إلى	إلى	UC
البيت	البيت	UC
بالمطار	بالقطار	REPLACE_OR
الحمد	الحمد	UC
لله	لله	UC
رجعنا	رجعنا	UC
بسلامة	بسلامة	UC
وبالسرور	وسرور	REPLACE_XF+REPLACE_XT

رحلتي	رحلتي	UC
في	في	UC
بلدي	بلدي	UC
حتى	حتى	UC
على	إلى	REPLACE_SW
السعودية	السعودية	UC
السلام	السلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
أتحدث	أتحدث	UC
عن	عن	UC
رحلتي	رحلتي	UC
منذ	منذ	UC
	أن	INSERT_XM
كنت	كنت	UC
في	في	UC
بلدي	بلدي	UC
فلما	فلما	UC
سمعت	سمعت	UC
اسمي	اسمي	UC
من	من	UC
أسماء	أسماء	UC
المقبولين	المقبولين	UC
في	في	UC
هذه	هذه	UC
الجامعة	الجامعة	UC
	جامعة	INSERT_XM
الملك	الملك	UC
سعود	سعود	UC
كنت	كنت	UC
مسرورا	مسرورا	UC
جدا	جدا	UC
جدا	جدا	UC
وبعد	وبعد	UC
هذه	هذه	UC
الأيام	الأيام	UC
قد	قد	UC
اختمت	ختمت	REPLACE_OD
الأوراقي	الأوراق	REPLACE_OD+REPLACE_OG
حتى	حتى	UC
ذهبت	ذهبت	UC
هنا	هنا	UC
في	في	UC
السعودية	السعودية	UC
يعني	يعني	UC
في	في	UC
الطريق	الطريق	UC
مررت	مررت	UC
البلدان	بالبلدان	REPLACE_XM
الجميلة	الجميلة	UC
جدا	جدا	UC
وعجبت	وعجبت	UC
من	من	UC
بعدها	بعدها	UC
لأنني	لأنني	UC
أول	أول	UC
مرة	مرة	UC
	أراها	INSERT_XM
لما	لما	UC
وصلت	وصلت	UC
هنا	هنا	UC
في	إلى	REPLACE_SW
السعودية	السعودية	UC
مازال		DELETE_XM
كنت	كنت	UC
	مازلت	INSERT_XM
سعيدا	سعيدا	UC
حتى	حتى	UC
وصلت	وصلت	UC
في	إلى	REPLACE_SW
سكن	سكن	UC
الجامعة	الجامعة	UC
وبعدها	وبعدها	UC
هذه	هذه	UC
الأيام	الأيام	UC
سمعت	سمعت	UC
أن	أن	UC
مسؤول	مسؤولي	REPLACE_XN
الأنشطة	الأنشطة	UC
سيرتحلون	سيرتحلون	UC
إلى	إلى	UC
الدمام	الدمام	UC
حتى	حتى	UC
تابعت	تابعت	UC
إليهم	إليهم	UC
إلى	إلى	UC
الدمام	الدمام	UC
يعني	يعني	UC
في	في	UC
الدمام	الدمام	UC
هناك	هناك	UC
منطقة	منطقة	UC
جميلة	جميلة	UC
في	على	REPLACE_SW
شاطئ	شاطئ	UC
البحر	البحر	UC
وماشينا	ومشينا	REPLACE_OD
هناك	هناك	UC
كننا	مكثنا	REPLACE_OM+REPLACE_OR
ثلاث	ثلاثة	REPLACE_OM
أيام	أيام	UC
في	في	UC
الدمام	الدمام	UC
حتى	حتى	UC
عدنا	عدنا	UC
إلى	إلى	UC
الجامعة	الجامعة	UC
تمت	تمت	UC
الرحلة	الرحلة	UC
شكرا	شكرا	UC

تخصصي	تخصصي	UC
في	في	UC
المستقبل	المستقبل	UC
لكل	كل	REPLACE_MI
واحد	واحد	UC
منا	منا	UC
له	له	UC
رغباته	رغباته	UC
وميوله	وميوله	UC
الشخصية	الشخصية	UC
التي	التي	UC
تدفعه	تدفعه	UC
إلى	إلى	UC
اختيار	اختيار	UC
تخصص	تخصص	UC
